Emissor,CNPJ,Emissão,Série,Quantidade,Valor,PM,Dono,Competência,% do PL Dono
CRI_21H1034619 - RBCAPITALSEC,03.559.006/0001-91,1,360,60000.0,50256643.75,837.6107291666667,CVBI11,04/2022,4.860620499722831
CRI_21L0146951 - RBCAPITALSEC,03.559.006/0001-91,1,406,40000.0,38727654.13,968.19135325,CVBI11,04/2022,3.7455829821595192
CRI_22A0695877 - RBCAPITALSEC,03.559.006/0001-91,1,471,15000.0,15827254.44,1055.150296,CVBI11,04/2022,1.5307484074758413
CRI_22A0695877- RBCAPITALSEC,03.559.006/0001-91,1,471,9598.0,10127332.54,1055.150295894978,CVBI11,04/2022,0.9794748808993852
CRI_22F0636859 - RBCAPITALSEC,03.559.006/0001-91,27,1,60000.0,53104998.72,885.083312,CVBI11,04/2022,5.136101939083162
CRI_22F1025672 - RBCAPITALSEC,03.559.006/0001-91,9,1,2023956.0,2026565.5,1.0012893066845328,CVBI11,04/2022,0.1960012662670306
CRI_22F1025672 - RBCAPITALSEC,03.559.006/0001-91,9,1,5000000.0,5006446.55,1.00128931,CVBI11,04/2022,0.4842033792138506
CRI_22F1025673 - RBCAPITALSEC,03.559.006/0001-91,9,2,2278000.0,2281130.08,1.0013740474100088,CVBI11,04/2022,0.22062172883127282
CRI_22F1025673 - RBCAPITALSEC,03.559.006/0001-91,9,2,3511111.0,3515935.44,1.0013740494105712,CVBI11,04/2022,0.34004713805358344
CRI_22F1025673 - RBCAPITALSEC,03.559.006/0001-91,9,2,1432889.0,1434857.91,1.0013740841056076,CVBI11,04/2022,0.13877368743979163
CRI_22F1025725 - RBCAPITALSEC,03.559.006/0001-91,10,1,2023956.0,2026565.4,1.0012892572763439,CVBI11,04/2022,0.1960012565954327
CRI_22F1025725 - RBCAPITALSEC,03.559.006/0001-91,10,1,5000000.0,5006446.5,1.0012893,CVBI11,04/2022,0.4842033743780516
CRI_22F1025727 - RBCAPITALSEC,03.559.006/0001-91,10,2,2278000.0,2281051.67,1.0013396268656716,CVBI11,04/2022,0.22061414533136223
CRI_22F1025727 - RBCAPITALSEC,03.559.006/0001-91,10,2,3511111.0,3515814.58,1.0013396272575832,CVBI11,04/2022,0.34003544896036586
CRI_22F1025727 - RBCAPITALSEC,03.559.006/0001-91,10,2,1432889.0,1434809.88,1.001340564412177,CVBI11,04/2022,0.13876904217132197
CRI_20I0668028 - RB CAPITAL SA,20.502.525/0001-32,1,275,1605.0,860539.28,536.1615451713395,CVBI11,04/2022,0.0832278989021173
CRI_20I0668028 - RB CAPITAL SA,20.502.525/0001-32,1,275,12545.0,6726146.61,536.1615472299721,CVBI11,04/2022,0.6505258540410834
